"#","Latin Input","Devanagari Target","Devanagari Predicted","Correct"
"20","andrabi","अंद्राबी","अंद्राबी","✅"
"21","andha","अंधा","अंधाा","❌"
"22","andhapan","अंधापन","अंधान","❌"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमबनी","❌"
"25","ambani","अंबानी","अमबनी","❌"
"26","akram","अकरम","अक्रमम","❌"
"27","acapulco","अकापुल्को","एकापुलो","❌"
"28","akapulko","अकापुल्को","अकापुकों","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","ऑग्स्टिन","❌"
"34","augustustine","अगस्टाइन","ऑग्स्टॉन्सिनं","❌"
"35","agsta","अगस्ता","अग्सताा","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","औगुस्ताा","❌"
"38","agr","अग्र","अगर","❌"
"39","agra","अग्र","अगरा","❌"
"40","achambha","अचंभा","अंचामाभा","❌"
"41","achanbha","अचंभा","अच्नभाा","❌"
"42","achievement","अचीवमेंट","अचिचेंतव","❌"
"43","achivement","अचीवमेंट","अच्विंतमें","❌"
"44","acchi","अच्छी","अच्छीर","❌"
"45","achchi","अच्छी","अच्छीी","❌"
"46","achhi","अच्छी","अच्छीर","❌"
"47","achyut","अच्युत","अछूत","❌"
"48","achhanera","अछनेरा","अछानेरा","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अजमदीद","❌"
"51","ajhar","अजहर","अधर","❌"
"52","azhar","अजहर","अधर","❌"
"53","ajit","अजित","आजीत","❌"
"54","agnat","अज्ञात","अज्ञात","✅"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अतातका","❌"
"58","atkata","अटकता","आत्खाता","❌"
"59","atake","अटके","अताके","❌"
"60","atke","अटके","अटके","✅"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अटवाल","✅"
"63","attahasa","अट्टहास","अत्तासा","❌"
"64","atthaas","अट्टहास","अथार्श","❌"
"65","atthas","अट्टहास","अथ्रास","❌"
"66","addon","अड्डों","एडडों","❌"
"67","athak","अथक","अथाक","❌"
"68","atharv","अथर्व","अठवर्थ","❌"
"69","atharva","अथर्व","अठवाहाा","❌"
"70","adad","अदद","अदद","✅"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदनी","❌"
"73","advait","अद्वैत","एडवाइट","❌"
"74","adwait","अद्वैत","एडवाइट","❌"
"75","advaitvaad","अद्वैतवाद","एडविगाव","❌"
"76","advaitwad","अद्वैतवाद","एडविताव","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","एडविवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","एंक","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकीत","❌"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगराक","❌"
"11","angraji","अंग्रज़ी","अंगर्जी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंताह","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतर्मक","❌"
"17","antmurkh","अंतर्मुख","अंतुर्मख","❌"
"18","antrmukh","अंतर्मुख","अंतर्मुख","✅"
"19","andrabee","अंद्राबी","अंदरबाबी","❌"
"20","andrabi","अंद्राबी","अंद्रबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापान","❌"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अम्बानी","❌"
"25","ambani","अंबानी","अम्बनी","❌"
"26","akram","अकरम","अकर्म","❌"
"27","acapulco","अकापुल्को","अकुपललोक","❌"
"28","akapulko","अकापुल्को","अकुपुलोक","❌"
"29","akhand","अखंड","आखंद","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","आगुस्तिनी","❌"
"34","augustustine","अगस्टाइन","आगुस्तिस्तियों","❌"
"35","agsta","अगस्ता","अगस्ता","✅"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","आगुस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अचमभा","❌"
"41","achanbha","अचंभा","अछाभना","❌"
"42","achievement","अचीवमेंट","अचिवेनेटिक","❌"
"43","achivement","अचीवमेंट","अचिवेनेटिक","❌"
"44","acchi","अच्छी","अच्ची","❌"
"45","achchi","अच्छी","अच्ची","❌"
"46","achhi","अच्छी","अचि","❌"
"47","achyut","अच्युत","अच्युत","✅"
"48","achhanera","अछनेरा","अछाहनारा","❌"
"49","achnera","अछनेरा","अच्नेरा","❌"
"50","ajmeedh","अजमीढ़","अजमीद","❌"
"51","ajhar","अजहर","अजहर","✅"
"52","azhar","अजहर","अजहर","✅"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अग्ना","❌"
"55","agyaat","अज्ञात","अग्यात","❌"
"56","agyat","अज्ञात","अग्यात","❌"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","अतके","❌"
"60","atke","अटके","आत्के","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवाल","❌"
"63","attahasa","अट्टहास","अत्थासा","❌"
"64","atthaas","अट्टहास","अत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","अद्दों","❌"
"67","athak","अथक","आथक","❌"
"68","atharv","अथर्व","अथरव","❌"
"69","atharva","अथर्व","अथरवा","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","आदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवात","❌"
"74","adwait","अद्वैत","अदवात","❌"
"75","advaitvaad","अद्वैतवाद","अव्वातवाल","❌"
"76","advaitwad","अद्वैतवाद","अव्वातावाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अविविवस","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अनकित","❌"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अनकों","❌"
"7","angkor","अंकोर","अंगकर","❌"
"8","ankor","अंकोर","अनकोर","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंगराजी","❌"
"12","angreji","अंग्रज़ी","अंगरेजी","❌"
"13","angrzi","अंग्रज़ी","अंगर्जी","❌"
"14","antah","अंतः","अंताह","❌"
"15","antaha","अंतः","अंतथा","❌"
"16","antarmukh","अंतर्मुख","अंतरामुख","❌"
"17","antmurkh","अंतर्मुख","अंत्रमूर्म","❌"
"18","antrmukh","अंतर्मुख","अंतर्मुख","✅"
"19","andrabee","अंद्राबी","अंदरबाी","❌"
"20","andrabi","अंद्राबी","अंदरबाी","❌"
"21","andha","अंधा","अंधा","✅"
